Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
2021-06-27 9,9 2021-06-27 10,1  
2021-06-27 9,9 2021-06-27 10,1  
2021-06-27 9,8 2021-06-27 10,2  
2021-06-27 9,7 2021-06-27 10,2  
2021-06-27 9,7 2021-06-27 10,2  
2021-06-27 9,7 2021-06-27 10,2  
2021-06-27 9,7 2021-06-27 10,2  
2021-06-27 9,7 2021-06-27 10,1  
2021-06-27 9,7 2021-06-27 10,1  
2021-06-27 9,8 2021-06-27 10,1  
2021-06-27 9,8 2021-06-27 10  
2021-06-27 9,8 2021-06-27 9,8  
2021-06-27 9,9 2021-06-28 9,7  
2021-06-28 9,9 2021-06-28 9,6  
2021-06-28 9,9 2021-06-28 9,4  
2021-06-28 9,9 2021-06-28 9,3  
2021-06-28 9,9 2021-06-28 9,2  
2021-06-28 9,8 2021-06-28 9  
2021-06-28 9,8 2021-06-28 8,9  
2021-06-28 9,8 2021-06-28 8,8  
2021-06-28 9,7 2021-06-28 8,7  
2021-06-28 9,7 2021-06-28 8,7  
2021-06-28 9,6 2021-06-28 8,7  
2021-06-28 9,6 2021-06-28 8,8  
2021-06-28 9,5 2021-06-28 8,8  
2021-06-28 9,4 2021-06-28 8,9  
2021-06-28 9,4 2021-06-28 8,9  
2021-06-28 9,4 2021-06-28 8,9  
2021-06-28 9,4 2021-06-28 9  
2021-06-28 9,4 2021-06-28 9  
2021-06-28 9,4 2021-06-28 9  
2021-06-28 9,4 2021-06-28 8,9  
2021-06-28 9,4 2021-06-28 8,9  
2021-06-28 9,5 2021-06-28 8,9  
2021-06-28 9,5 2021-06-28 8,8  
2021-06-28 9,5 2021-06-28 8,7  
2021-06-28 9,5 2021-06-29 8,6  
2021-06-29 9,5 2021-06-29 8,5  
2021-06-29 9,5 2021-06-29 8,3  
2021-06-29 9,5 2021-06-29 8,2  
2021-06-29 9,5 2021-06-29 8,1  
2021-06-29 9,5 2021-06-29 8  
2021-06-29 9,4 2021-06-29 7,9  
2021-06-29 9,4 2021-06-29 7,8  
2021-06-29 9,4 2021-06-29 7,8  
2021-06-29 9,4 2021-06-29 7,7  
2021-06-29 9,3 2021-06-29 7,7  
2021-06-29 9,3 2021-06-29 7,7  
2021-06-29 9,2 2021-06-29 7,7  
2021-06-29 9,2 2021-06-29 7,8  
2021-07-01 8,2 2021-06-29 7,8  
2021-07-02 8,2 2021-06-29 7,7  
2021-07-02 8,2 2021-06-29 7,7  
2021-07-02 8,2 2021-06-29 7,7  
2021-07-02 8,2 2021-06-29 7,7  
2021-07-02 8,1 2021-06-29 7,7  
2021-07-02 8,1 2021-06-29 7,6  
2021-07-02  2021-06-29 7,6  
2021-07-02 8,1 2021-06-29 7,5  
2021-07-02 8,1 2021-06-29 7,5  
2021-07-02  2021-06-30 7,4  
2021-07-02 8 2021-06-30 7,4  
2021-07-02 8 2021-06-30 7,3  
2021-07-02 8 2021-06-30 7,2  
2021-07-02 8 2021-06-30 7,2  
